words,AMZN_bull,AMZN_bear,AAPL_bull,AAPL_bear,GOOG_bull,GOOG_bear,TSLA_bull,TSLA_bear,MSFT_bull,MSFT_bear,KO_bull,KO_bear,COST_bull,COST_bear,CRM_bull,CRM_bear,NIO_bull,NIO_bear,PYPL_bull,PYPL_bear,DIS_bull,DIS_bear,BA_bull,BA_bear,ZS_bull,ZS_bear,BX_bull,BX_bear,NOC_bull,NOC_bear,NFLX_bull,NFLX_bear,TSM_bull,TSM_bear,META_bull,META_bear,PG_bull,PG_bear
bull,3158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highs,3156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenue,3153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
around,3152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,3151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real,3134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecommerce,3126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tv,3121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todays,3113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trend,3104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th,3086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small,3065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swing,3053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
active,3051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
try,3039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
store,3036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keep,3025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google,3022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
launches,3016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
range,3009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling,2998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cant,2983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latest,2965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
products,2962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co,2950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft,2947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
members,2940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkmarkbutton,2894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt,2889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worth,2846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level,2845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
streaming,2830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
every,2827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,2801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
far,2794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
world,2794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
already,2777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceo,2771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
come,2767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
key,2766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raised,2751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alert,2747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
months,2744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
use,2732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list,2731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
announces,2727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shopping,2727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post,2725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potential,2719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breakout,2716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plans,2716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,2695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
term,2682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
said,2671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love,2670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markets,2668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lot,2663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fund,2661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results,2656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grocery,2656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puts,2641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
article,2624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stop,2611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
needs,2605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ready,2605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makes,2604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levels,2604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web,2596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
link,2583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team,2569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
early,2567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work,2565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
watching,2559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
month,2552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
future,2543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
might,2540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biggest,2529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyone,2523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
india,2507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
say,2497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
board,2497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pay,2486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash,2485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expected,2484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
always,2474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
things,2468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gains,2460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour,2458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bounce,2455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trending,2454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gain,2446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interesting,2440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
december,2432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per,2428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yesterday,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size,2398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smart,2394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
find,2391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rose,2390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeks,2382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
